month,format,device_type,bid_type,network_id,advertiser_category, spend , impressions ,clicks,measurable_imps,viewable_imps,engagements,video_start,video_complete,conversions, audio_start ,audio_complete
2019-09-01,display,desktop,cpc,20,Business,9.1,"16,496",7,4002,1677,3,0,0,0,0,0
2019-09-01,display,desktop,cpc,20,Health & Fitness,11.61,"10,366",7,2674,1023,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,73,Business, -   ,7,0,0,0,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,73,Food & Drink, -   , -   ,0,0,0,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,75,Business,4.24,"3,956",3,999,345,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,75,Health & Fitness,3.01,295,2,66,20,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,75,Food & Drink,0.25,48,0,14,11,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,85,Business,60.13,"61,352",42,10036,4201,14,0,0,0,0,0
2019-09-01,display,desktop,cpc,85,Health & Fitness,14.69,"8,593",7,1861,735,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,85,Food & Drink,1.63,"1,318",2,119,21,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,86,Business,2.55,"7,370",2,674,195,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,86,Health & Fitness,0.42,807,0,86,24,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,86,Food & Drink,1.59,834,1,110,68,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,87,Business,64.85,"52,622",49,7217,2637,13,0,0,1,0,0
2019-09-01,display,desktop,cpc,87,Health & Fitness,22.09,"11,887",12,2038,831,1,0,0,0,0,0
2019-09-01,display,desktop,cpc,87,Food & Drink,2.62,"1,335",3,103,31,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,94,Business,7.98,"20,160",5,2262,794,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,94,Health & Fitness,3.26,"7,093",2,246,89,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,94,Food & Drink,1.84,"2,997",1,414,230,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,95,Business,74.08,"60,607",56,9085,2604,6,0,0,0,0,0
2019-09-01,display,desktop,cpc,95,Health & Fitness,32.39,"12,931",18,2164,605,1,0,0,0,0,0
2019-09-01,display,desktop,cpc,95,Food & Drink,5.88,"3,123",5,260,82,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,106,Business,14.44,"28,391",11,0,0,3,0,0,0,0,0
2019-09-01,display,desktop,cpc,106,Health & Fitness,0.86,"4,294",1,0,0,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,109,Business,12.01,"21,427",6,0,0,2,0,0,0,0,0
2019-09-01,display,desktop,cpc,109,Health & Fitness,1.48,"2,232",1,0,0,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,116,Business,0.99,"2,082",1,353,121,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,116,Health & Fitness,0.59,512,0,116,28,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,116,Food & Drink, -   ,22,0,2,1,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,119,Business,50.4,"39,912",40,4083,1351,9,0,0,0,0,0
2019-09-01,display,desktop,cpc,119,Health & Fitness,27.81,"19,679",15,3805,1200,1,0,0,0,0,0
2019-09-01,display,desktop,cpc,119,Food & Drink,3.96,"2,311",3,442,176,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,120,Business,5.33,927,3,219,184,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,120,Health & Fitness,1.18,268,1,74,61,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,120,Food & Drink,0.17,13,0,3,3,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,125,Business,0.84,507,1,140,100,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,125,Health & Fitness,0.96,91,1,24,18,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,125,Food & Drink, -   ,3,0,1,1,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,128,Business,16.09,"25,643",13,2944,1314,6,0,0,0,0,0
2019-09-01,display,desktop,cpc,128,Health & Fitness,9,"6,421",5,777,385,1,0,0,0,0,0
2019-09-01,display,desktop,cpc,128,Food & Drink,2.24,652,2,88,44,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,132,Business,35.68,"41,745",25,11160,2873,8,0,0,0,0,0
2019-09-01,display,desktop,cpc,132,Health & Fitness,46.55,"9,210",26,2411,875,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,132,Food & Drink,3.82,"1,890",3,502,158,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,134,Business,16.33,"18,047",9,4881,1551,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,134,Health & Fitness,26.45,"4,850",13,1410,714,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,134,Food & Drink, -   ,691,0,176,73,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,135,Business, -   ,9,0,0,0,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,135,Health & Fitness, -   ,14,0,0,0,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,135,Food & Drink, -   ,2,0,0,0,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,137,Business, -   ,182,0,25,7,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,137,Health & Fitness, -   ,59,0,4,2,0,0,0,0,0,0
2019-09-01,display,desktop,cpc,137,Food & Drink, -   ,568,0,38,8,0,0,0,0,0,0
